ID,STUDENT_ID,DT,DTTM
1,1195,2024-01-22,"2024-01-22 03:15:10"
2,185289,2024-01-22,"2024-01-22 03:50:05"
3,184220,2024-01-22,"2024-01-22 03:50:40"
4,184758,2024-01-22,"2024-01-22 03:51:01"
5,184579,2024-01-22,"2024-01-22 03:51:21"
6,184353,2024-01-22,"2024-01-22 03:51:37"
7,183572,2024-01-22,"2024-01-22 03:52:00"
8,184248,2024-01-22,"2024-01-22 03:52:20"
9,184454,2024-01-22,"2024-01-22 03:52:34"
10,184635,2024-01-22,"2024-01-22 03:52:56"
11,184801,2024-01-22,"2024-01-22 03:53:27"
12,185491,2024-01-22,"2024-01-22 03:53:50"
13,183819,2024-01-22,"2024-01-22 03:54:08"
14,184255,2024-01-22,"2024-01-22 03:54:30"
15,184153,2024-01-22,"2024-01-22 03:54:53"
16,184888,2024-01-22,"2024-01-22 03:55:15"
17,184521,2024-01-22,"2024-01-22 03:55:38"
18,184185,2024-01-22,"2024-01-22 03:55:58"
19,182394,2024-01-22,"2024-01-22 03:56:19"
20,184153,2024-01-23,"2024-01-23 13:02:27"
21,184153,2024-01-23,"2024-01-23 13:02:27"
22,184153,2024-01-23,"2024-01-23 13:02:27"
23,184153,2024-01-23,"2024-01-23 13:02:27"
24,184153,2024-01-23,"2024-01-23 13:02:27"
25,184153,2024-01-23,"2024-01-23 13:02:28"
26,184153,2024-01-23,"2024-01-23 13:02:28"
27,184153,2024-01-23,"2024-01-23 13:02:28"
28,184153,2024-01-23,"2024-01-23 13:02:28"
29,184153,2024-01-23,"2024-01-23 13:02:28"
30,184153,2024-01-23,"2024-01-23 13:02:28"
31,184153,2024-01-23,"2024-01-23 13:02:28"
32,184153,2024-01-23,"2024-01-23 13:02:28"
33,184153,2024-01-23,"2024-01-23 13:02:28"
34,184153,2024-01-23,"2024-01-23 13:02:28"
35,184153,2024-01-23,"2024-01-23 13:02:29"
36,184153,2024-01-23,"2024-01-23 13:02:29"
37,184153,2024-01-23,"2024-01-23 13:02:29"
38,184153,2024-01-23,"2024-01-23 13:02:29"
39,184153,2024-01-23,"2024-01-23 13:02:29"
40,184153,2024-01-23,"2024-01-23 13:02:29"
41,184153,2024-01-23,"2024-01-23 13:02:29"
42,184153,2024-01-23,"2024-01-23 13:02:29"
43,184153,2024-01-23,"2024-01-23 13:02:29"
44,184153,2024-01-23,"2024-01-23 13:02:29"
45,184153,2024-01-23,"2024-01-23 13:02:30"
46,184153,2024-01-23,"2024-01-23 13:02:30"
47,184153,2024-01-23,"2024-01-23 13:02:30"
48,184153,2024-01-23,"2024-01-23 13:02:30"
49,184153,2024-01-23,"2024-01-23 13:02:30"
50,184153,2024-01-23,"2024-01-23 13:02:30"
51,184153,2024-01-23,"2024-01-23 13:02:30"
52,184153,2024-01-23,"2024-01-23 13:02:30"
